,max,min,val_of_30day,max_after_30day,target,length
1641,1791.0,1650.0,1732.5,1769.0,1.02106782107,37.0
1642,2466.42,950.57,1596.51,2466.42,1.54488227446,117.0
1643,2588.0,2357.0,2445.0,2588.0,1.05848670757,48.0
1644,2925.5,2605.0,2726.0,2780.5,1.01999266324,35.0
1645,695.0,636.0,679.0,695.0,1.0235640648,44.0
1646,1400.0,690.0,1120.0,1400.0,1.25,80.0
1647,2660.0,2240.0,2550.0,2550.0,1.0,34.0
1648,1391.0,1309.0,1386.0,1391.0,1.00360750361,51.0
1649,3390.0,3100.0,3390.0,3390.0,1.0,33.0
1650,10250.0,8610.0,9960.0,10250.0,1.0,37.0
1651,1791.0,1464.0,1722.0,1791.0,1.0,56.0
1652,1650.0,1338.0,1571.0,1650.0,1.05028644176,47.0
1653,2665.0,1707.0,2394.0,2665.0,1.11319966583,56.0
1654,895.0,817.0,827.0,827.0,1.0,32.0
1655,3480.0,3140.0,3450.0,3450.0,1.0,45.0
1656,2163.0,1680.0,1990.0,2163.0,1.08693467337,47.0
1657,7680.0,6180.0,6800.0,7680.0,1.12941176471,115.0
1658,2787.0,2067.0,2341.0,2787.0,1.0,92.0
1659,409.0,353.0,386.0,409.0,1.0,44.0
1660,1006.0,820.0,892.0,1006.0,1.12780269058,92.0
1661,2089.0,1756.0,1963.0,2089.0,1.06418746816,70.0
1662,1592.0,759.0,927.0,1592.0,1.0,98.0
1663,424.5,360.0,402.5,424.5,1.05465838509,54.0
1664,2048.0,1816.0,1956.0,2048.0,1.04703476483,46.0
1665,4805.0,3530.0,4265.0,4805.0,1.0,60.0
1666,1699.0,1368.0,1630.0,1699.0,1.0,60.0
1667,237.0,193.0,223.0,237.0,1.0,58.0
1668,231.0,185.0,219.0,231.0,1.05479452055,58.0
1669,4040.0,3590.0,3740.0,3795.0,1.0,35.0
1670,9631.0,8361.0,9210.0,9210.0,1.0,34.0
1671,717.0,480.0,525.0,717.0,1.0,99.0
1672,217.0,128.0,162.0,217.0,1.33950617284,88.0
1673,1190.0,1100.0,1100.0,1100.0,1.0,31.0
1674,1565.0,1460.0,1531.0,1559.0,1.0182887002,37.0
1675,416.0,354.0,385.0,391.0,1.01558441558,41.0
1676,802.0,721.0,795.0,802.0,1.0,58.0
1677,342.0,195.0,259.0,342.0,1.0,87.0
1678,1280.0,1147.0,1245.0,1245.0,1.0,33.0
1679,1008.0,717.0,847.0,1008.0,1.19008264463,77.0
1680,750.0,521.0,746.0,750.0,1.00536193029,40.0
1681,476.0,424.0,452.0,476.0,1.05309734513,44.0
1682,732.0,634.0,720.0,720.0,1.0,35.0
1683,55.0,38.0,48.0,55.0,1.0,67.0
1684,788.0,610.0,673.0,788.0,1.17087667162,79.0
1685,416.0,306.0,329.0,416.0,1.26443768997,67.0
1686,360.0,341.0,346.0,357.0,1.03179190751,41.0
1687,1617.0,1334.0,1455.0,1617.0,1.0,42.0
1688,1990.0,1552.5,1672.5,1990.0,1.18983557549,83.0
1689,640.0,585.0,599.0,599.0,1.0,31.0
1690,2099.0,1440.0,1778.0,2099.0,1.0,97.0
1691,705.0,564.0,624.0,705.0,1.0,62.0
1692,1007.27,927.27,983.64,1007.27,1.02402301655,38.0
1693,570.0,358.0,422.0,570.0,1.35071090047,98.0
1694,4802.5,3826.0,4010.0,4802.5,1.19763092269,92.0
1695,5455.0,4378.0,5070.0,5455.0,1.07593688363,78.0
